family,config,proxy_score,proxy_Q_A,proxy_Q_B,S,Q_A,Q_B,Q_C,I_A,I_B,I_C,binding_A,binding_B,binding_C,expansion
IRM,"lam=1e+06,warm=0.65",69.53961509806447,0.6516502339437961,0.7420787741793452,53.737352783548474,0.6382968064840266,0.4864466372375259,0.49977085739600846,0.8478440195322037,0.8620761334896088,0.5007598784577567,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",True
IRM,"lam=10000,warm=0.65",69.5871787226179,0.6523820745473834,0.7422606523842888,53.7057239337735,0.6369983806979256,0.48657800000216384,0.49977085739600846,0.8480955362319946,0.8640937209129333,0.5007598784577567,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",True
IRM,"lam=100000,warm=0.65",69.58901483414932,0.6524165022127956,0.7422606523842888,53.705235226272855,0.6384675307281864,0.4854451039070157,0.49977085739600846,0.8478440195322037,0.8615674823522568,0.5007598784577567,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)",True
IRM,"lam=100000,warm=0.3",68.73258842935068,0.6140499966456922,0.7693459389308269,52.37355037625735,0.4835952417821473,0.5458586058779115,0.5442192077274213,0.8290238678455353,0.8217164725065231,0.7930970340967178,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=44.721,warm=0.65",49.83653620488618,0.4982254762590425,0.49850528711414,52.339198274326726,0.573881824292265,0.5,0.4996762678726965,0.6415940970182419,0.5,0.4997532069683075,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
IRM,"lam=1000,warm=0.3",66.76606948831424,0.649976609177532,0.6858259161909078,51.13573516682045,0.4764934572158648,0.5094043711695823,0.5508760651827489,0.8367301225662231,0.8182764798402786,0.8096968531608582,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=1e+06,warm=0.3",68.72904314737144,0.614051221199129,0.7692650399308327,50.90894869088793,0.4711334745349829,0.5146670833868281,0.5441417268088176,0.8325569778680801,0.8246670961380005,0.7928502410650253,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
EQRM,"coef=44.721,warm=0.5",49.925109287490315,0.4989387664769293,0.4995636147833993,50.85704471886625,0.5275061906834859,0.4986030017124199,0.5001161856778629,0.6096699461340904,0.49977118853712454,0.5002532928192522,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.5, 0.5, 1.5, 1.0)",False
EQRM,"coef=14.142,warm=0.3",55.561947549693436,0.6001862047016076,0.5143620415350437,50.69747619384957,0.5,0.46909755260891384,0.5555534493355991,0.5,0.8794041574001312,0.7585399448871613,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=44.721,warm=0.3",49.72528692159745,0.4963465607853464,0.49816083252856674,50.492610303971276,0.5,0.499995751430385,0.5149287616444098,0.5,0.49999150293297134,0.5526121375150979,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=44.721,warm=0.1",50.6258025545478,0.5085814490454171,0.5039452164648619,50.39952600034619,0.5,0.5,0.5120818077163561,0.5,0.5,0.5376616206485778,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.1, 1.0, 1.0)",False
EQRM,"coef=44.721,warm=0.8",50.206069301223074,0.5049473623890323,0.499190526068577,50.11421962935426,0.5009451911575353,0.5,0.5024845346374842,0.5027335984632373,0.5,0.505857989192009,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
EQRM,"coef=31.623,warm=0.1",50.391580529210366,0.4994565114032878,0.5084149130616735,50.10391316259106,0.5,0.5,0.503123878133142,0.5,0.5,0.5142359100282192,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=31.623,warm=0",49.987940039905986,0.4997588298866473,0.5,50.003400630988224,0.5,0.5003054846280695,0.49979666547145496,0.5,0.508901322260499,0.5,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.5, 0.5, 1.5, 1.0)",True
EQRM,"coef=44.721,warm=0",50.00630236413932,0.5,0.5001260552267451,49.999652551239784,0.5,0.5,0.4999895766096257,0.5,0.5,0.5,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
IRM,"lam=10000,warm=0.3",68.57902416460524,0.6108842262921818,0.7698811579921294,49.6832499596072,0.46254609844239203,0.48816881050404604,0.5431314358117767,0.7192698866128922,0.8287022560834885,0.7945777922868729,"(0.9, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=31.623,warm=0.65",52.28773821409687,0.5095376179675227,0.5365663831556767,49.30110623330384,0.48037782959144376,0.49944057124514607,0.4994628815064219,0.5107973869889975,0.5005001377139706,0.5007143672555685,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
IRM,"lam=1000,warm=0.5",67.65132983142067,0.65467778234883,0.6990770958408784,48.75373772075747,0.4500460510631692,0.5785952136908945,0.44503273558539924,0.8965712785720825,0.8615619838237762,0.6870778650045395,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.9, 1.0, 0.45)",False
VREx,"lam=10000,warm=0.5",47.36935682901369,0.673945194900574,0.3329433881823963,48.27870165141319,0.48542173214067114,0.4492213853590437,0.516044445839486,0.8379191607236862,0.8378056287765503,0.6568482667207718,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=100000,warm=0.5",40.30758732181596,0.5467363912448325,0.29716360968887207,48.233878513431485,0.40754385419126127,0.4945049860426349,0.5568157771801279,0.5453586224466562,0.683078408241272,0.5948895364999771,"(0.9, 0.9, 1.0, 0.45)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.1, 1.0, 1.0)",False
EQRM,"coef=31.623,warm=0.3",52.381756137199176,0.5264631103925265,0.5211853065965463,48.090090560699885,0.4984627870979854,0.44623541942926415,0.5,0.5019610761664808,0.6597839422756806,0.5,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=100000,warm=0",46.89657146654328,0.4590449215659233,0.47910091409229594,47.982583092133765,0.48072899497966715,0.47339521260314554,0.4854300901857033,0.500792533159256,0.4865611121058464,0.5191187411546707,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.9, 1.0, 1.0)","(0.9, 0.1, 1.0, 1.0)",True
VREx,"lam=100000,warm=0.65",43.887239407683886,0.510909117891503,0.3769926422092916,47.98208736947803,0.40937994430827673,0.5717076338403577,0.4719944128231849,0.5529474131762981,0.6287389546632767,0.5772377997636795,"(0.9, 0.9, 1.0, 0.45)","(0.9, 0.9, 1.0, 0.45)","(0.1, 0.1, 1.0, 1.0)",True
EQRM,"coef=14.142,warm=0.5",58.294584188272935,0.6537846827401158,0.519782527091488,47.796712291466974,0.4953539243662447,0.51796433456953,0.4255774511625683,0.6913513988256454,0.8252855241298676,0.7218122333288193,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
